state,level,week,year
AL,1,31,2012
AL,1,32,2012
AL,1,33,2012
AL,1,34,2012
AL,1,35,2012
AL,1,36,2012
AL,1,37,2012
AL,1,38,2012
AL,1,39,2012
AL,1,40,2012
AL,1,41,2012
AL,1,42,2012
AL,1,43,2012
AL,1,44,2012
AL,1,45,2012
AL,4,46,2012
AL,10,47,2012
AL,10,48,2012
AL,10,49,2012
AL,10,50,2012
AL,10,51,2012
AL,10,52,2012
AL,10,1,2013
AL,10,2,2013
AL,10,3,2013
AL,9,4,2013
AL,7,5,2013
AL,5,6,2013
AL,7,7,2013
AL,4,8,2013
AL,4,9,2013
AL,4,10,2013
AL,5,11,2013
AL,5,12,2013
AL,2,13,2013
AL,1,14,2013
AL,1,15,2013
AL,1,16,2013
AL,1,17,2013
AL,1,18,2013
AL,1,19,2013
AL,1,20,2013
AL,1,21,2013
AL,1,22,2013
AL,1,23,2013
AL,1,24,2013
AL,1,25,2013
AL,1,26,2013
AL,1,27,2013
AL,1,28,2013
AL,1,29,2013
AL,1,30,2013
AL,1,31,2013
AL,1,32,2013
AL,1,33,2013
AL,1,34,2013
AL,1,35,2013
AL,1,36,2013
AL,1,37,2013
AL,1,38,2013
AL,1,39,2013
AL,1,40,2013
AL,1,41,2013
AL,1,42,2013
AL,4,43,2013
AL,3,44,2013
AL,5,45,2013
AL,5,46,2013
AL,6,47,2013
AL,7,48,2013
AL,10,49,2013
AL,10,50,2013
AL,10,51,2013
AL,10,52,2013
AL,10,1,2014
AL,10,2,2014
AL,6,3,2014
AL,9,4,2014
AL,8,5,2014
AL,5,6,2014
AL,3,7,2014
AL,1,8,2014
AL,1,9,2014
AL,1,10,2014
AL,1,11,2014
AL,1,12,2014
AL,1,13,2014
AL,1,14,2014
AL,1,15,2014
AL,1,16,2014
AL,1,17,2014
AL,1,18,2014
AL,1,19,2014
AL,1,20,2014
AL,1,21,2014
AL,1,22,2014
AL,1,23,2014
AL,1,24,2014
AL,1,25,2014
AL,1,26,2014
AL,1,27,2014
AL,1,28,2014
AL,1,29,2014
AL,1,30,2014
AL,1,31,2014
AL,1,32,2014
AL,1,33,2014
AL,1,34,2014
AL,1,35,2014
AL,1,36,2014
AL,1,37,2014
AL,1,38,2014
AL,1,39,2014
AL,1,40,2014
AL,1,41,2014
AL,1,42,2014
AL,1,43,2014
AL,1,44,2014
AL,1,45,2014
AL,5,46,2014
AL,10,47,2014
AL,10,48,2014
AL,9,49,2014
AL,10,50,2014
AL,10,51,2014
AL,10,52,2014
AL,10,53,2015
AL,9,1,2015
AL,10,2,2015
AL,10,3,2015
AL,10,4,2015
AL,6,5,2015
AL,9,6,2015
AL,10,7,2015
AL,8,8,2015
AL,9,9,2015
AL,6,10,2015
AL,4,11,2015
AL,1,12,2015
AL,1,13,2015
AL,1,14,2015
AL,1,15,2015
AL,1,16,2015
AL,1,17,2015
AL,1,18,2015
AL,1,19,2015
AL,1,20,2015
AL,1,21,2015
AL,1,22,2015
AL,1,23,2015
AL,1,24,2015
AL,1,25,2015
AL,1,26,2015
AL,1,27,2015
AL,1,28,2015
AL,1,29,2015
AL,1,30,2015
AL,1,31,2015
AL,1,32,2015
AL,1,33,2015
AL,1,34,2015
AL,1,35,2015
AL,1,36,2015
AL,1,37,2015
AL,1,38,2015
AL,1,39,2015
AL,1,40,2015
AL,1,41,2015
AL,1,42,2015
AL,1,43,2015
AL,1,44,2015
AL,1,45,2015
AL,1,46,2015
AL,3,47,2015
AL,1,48,2015
AL,1,49,2015
AL,2,50,2015
AL,2,51,2015
AL,1,52,2016
AL,1,1,2016
AL,1,2,2016
AL,2,3,2016
AL,2,4,2016
AL,2,5,2016
AL,2,6,2016
AL,4,7,2016
AL,6,8,2016
AL,8,9,2016
AL,10,10,2016
AL,7,11,2016
AL,1,40,2008
AL,1,41,2008
AL,1,42,2008
AL,1,43,2008
AL,3,44,2008
AL,1,45,2008
AL,2,46,2008
AL,3,47,2008
AL,4,48,2008
AL,5,49,2008
AL,4,50,2008
AL,1,51,2008
AL,1,52,2008
AL,1,53,2009
AL,1,1,2009
AL,1,2,2009
AL,4,3,2009
AL,2,4,2009
AL,3,5,2009
AL,6,6,2009
AL,4,7,2009
AL,4,8,2009
AL,5,9,2009
AL,3,10,2009
AL,1,11,2009
AL,1,12,2009
AL,1,13,2009
AL,1,14,2009
AL,1,15,2009
AL,1,16,2009
AL,3,17,2009
AL,1,18,2009
AL,1,19,2009
AL,1,20,2009
AL,1,21,2009
AL,1,22,2009
AL,1,23,2009
AL,1,24,2009
AL,1,25,2009
AL,1,26,2009
AL,1,27,2009
AL,1,28,2009
AL,1,29,2009
AL,1,30,2009
AL,1,31,2009
AL,1,32,2009
AL,9,33,2009
AL,10,34,2009
AL,10,35,2009
AL,10,36,2009
AL,10,37,2009
AL,10,38,2009
AL,10,39,2009
AL,10,40,2009
AL,10,41,2009
AL,10,42,2009
AL,10,43,2009
AL,10,44,2009
AL,10,45,2009
AL,9,46,2009
AL,7,47,2009
AL,6,48,2009
AL,6,49,2009
AL,5,50,2009
AL,8,51,2009
AL,7,52,2010
AL,2,1,2010
AL,6,2,2010
AL,7,3,2010
AL,7,4,2010
AL,5,5,2010
AL,4,6,2010
AL,4,7,2010
AL,5,8,2010
AL,6,9,2010
AL,7,10,2010
AL,4,11,2010
AL,2,12,2010
AL,1,13,2010
AL,1,14,2010
AL,1,15,2010
AL,1,16,2010
AL,1,17,2010
AL,1,18,2010
AL,1,19,2010
AL,1,20,2010
AL,1,21,2010
AL,1,22,2010
AL,1,23,2010
AL,1,24,2010
AL,1,25,2010
AL,1,26,2010
AL,1,27,2010
AL,1,28,2010
AL,1,29,2010
AL,1,30,2010
AL,1,31,2010
AL,1,32,2010
AL,1,33,2010
AL,1,34,2010
AL,1,35,2010
AL,1,36,2010
AL,1,37,2010
AL,1,38,2010
AL,1,39,2010
AL,1,40,2010
AL,1,41,2010
AL,1,42,2010
AL,1,43,2010
AL,1,44,2010
AL,1,45,2010
AL,1,46,2010
AL,4,47,2010
AL,4,48,2010
AL,8,49,2010
AL,10,50,2010
AL,10,51,2010
AL,10,52,2011
AL,10,1,2011
AL,10,2,2011
AL,10,3,2011
AL,10,4,2011
AL,10,5,2011
AL,10,6,2011
AL,10,7,2011
AL,10,8,2011
AL,10,9,2011
AL,8,10,2011
AL,2,11,2011
AL,1,12,2011
AL,1,13,2011
AL,1,14,2011
