state,week,year,level,temp,humid
AK,1,2009,1,-5.5021885521885565,73.66781545938444
AK,1,2010,1,14.370542685542686,77.5814698990634
AK,1,2011,1,22.263333333333332,82.07554573697922
AK,1,2012,1,5.17186090225564,77.1278244010227
AK,1,2013,4,21.522819548872185,80.3808311473923
AK,1,2014,8,25.07807929421769,81.95407784165208
AK,1,2015,1,17.16739766081871,76.69817496574701
AK,1,2016,1,24.061419833988644,75.99691974037717
AK,1,2017,1,17.37043579931973,77.6625974694506
AK,1,2018,6,22.114344175170068,85.08518091400173
AK,1,2019,3,12.87940809968847,81.91754120624147
AK,2,2009,1,-5.328067226890753,71.20426608088387
AK,2,2010,1,3.925292207792207,71.46474548394512
AK,2,2011,2,10.427806902577537,67.10900373078782
AK,2,2012,1,1.5782861432861464,75.37915982928827
AK,2,2013,4,19.066739766081874,83.92481382381214
AK,2,2014,8,18.265266754850085,82.52313781706097
AK,2,2015,1,17.480600505689004,77.7245219625114
AK,2,2016,1,19.42997597204019,79.76035266669525
AK,2,2017,5,7.367516087516089,77.35701552910017
AK,2,2018,6,14.26228657228657,77.07310658293169
AK,2,2019,1,1.1370516243880755,79.27917809918313
AK,3,2009,1,20.616229086229094,78.44176835661456
AK,3,2010,1,5.3093707482993215,75.62545968872729
AK,3,2011,3,2.7569448153093004,76.96669644833533
AK,3,2012,1,-0.16614502164502193,69.52782561858734
AK,3,2013,5,14.689108723135268,80.58223347781654
AK,3,2014,5,15.947703604806405,79.08019836513968
AK,3,2015,3,23.704639696586607,81.78040435485288
AK,3,2016,1,15.01238536155203,76.03060898186949
AK,3,2017,4,-2.834047619047624,76.77856063142184
AK,3,2018,6,19.14627125850341,83.51382439515264
AK,3,2019,4,15.347922077922075,81.47240575121236
AK,4,2009,1,16.392903911564627,72.38804469610291
AK,4,2010,1,13.438495575221241,77.97458171198785
AK,4,2011,2,16.222783711615488,77.11959389539496
AK,4,2012,2,-4.809367283950618,71.98258465947735
AK,4,2013,1,11.68450292397661,74.4321928269757
AK,4,2014,4,30.21775884665793,81.44265864711484
AK,4,2015,1,9.254134007585334,79.05250100706567
AK,4,2016,1,24.989090909090915,82.26424119514427
AK,4,2017,3,17.101857993197278,81.40562682885843
AK,4,2018,8,0.5710905612244896,76.44953692223389
AK,4,2019,10,20.531683982683987,83.1632804075394
AK,5,2009,1,4.845185419300462,76.80702452238957
AK,5,2010,1,8.605714285714287,77.70327643859386
AK,5,2011,5,17.982551332459586,79.38121592483124
AK,5,2012,1,6.788822629969418,76.30024709521753
AK,5,2013,5,12.36063909774436,77.05713431026678
AK,5,2014,4,26.97761904761905,81.0632311613664
AK,5,2015,1,6.059580602883358,74.13719260021568
AK,5,2016,1,20.421559416559425,76.85080433183603
AK,5,2017,5,17.409991341991347,77.46056949322885
AK,5,2018,10,7.742440476190474,71.51895805484301
AK,5,2019,10,18.007765399737874,80.06781218367415
AK,6,2009,1,3.1380694980694983,76.59713363168005
AK,6,2010,2,17.601296768707485,76.33746154363061
AK,6,2011,3,11.440586580086586,77.61471726397261
AK,6,2012,1,25.64769197769197,77.52059860442036
AK,6,2013,2,14.960193452380953,80.93563980266252
AK,6,2014,3,17.787076719576724,72.82156978895277
AK,6,2015,1,5.309472789115646,68.64888614249661
AK,6,2016,1,20.973026598026603,78.67316104037954
AK,6,2017,7,6.070840840840843,75.21601113021741
AK,6,2018,10,14.736945516945514,76.76078864154034
AK,6,2019,10,24.70452595452595,86.5881676516548
AK,7,2009,2,8.973248917748913,75.72234367212829
AK,7,2010,1,25.360138180272113,79.69365755934568
AK,7,2011,6,9.021327756327755,71.6346543854183
AK,7,2012,1,22.324164540816327,81.27781489506481
AK,7,2013,1,11.640386904761913,79.97023088573424
AK,7,2014,3,3.114673721340388,68.24078825043857
AK,7,2015,1,12.230465465465464,73.7197941140471
AK,7,2016,1,18.34684082892416,75.9466330187361
AK,7,2017,8,11.650686147186143,77.9683619727106
AK,7,2018,10,24.745493197278915,85.40278894505256
AK,7,2019,10,17.02265731292517,77.68033006661098
AK,8,2009,1,15.203456709956708,76.62594799307283
AK,8,2010,2,13.280491071428573,79.00557616170009
AK,8,2011,6,14.719894894894892,69.65740061444474
AK,8,2012,1,13.235835421888053,77.90914560546445
AK,8,2013,1,6.361632653061223,75.3844263932263
AK,8,2014,1,7.489188712522044,71.35484619832181
AK,8,2015,1,28.36597151360544,79.89354958255805
AK,8,2016,1,27.677085459183672,75.90289869709349
AK,8,2017,7,14.031926406926406,79.240871088608
AK,8,2018,10,23.728300865800875,84.68964773727534
AK,8,2019,10,20.82145061728395,79.78684027697989
AK,9,2009,1,18.531291291291293,73.82631128237696
AK,9,2010,1,12.694776785714286,75.43928695041552
AK,9,2011,10,9.394842687074831,60.51942944170486
AK,9,2012,1,4.304658944658944,74.26239031253573
AK,9,2013,1,12.226477033291195,75.42659209759056
AK,9,2014,1,23.720116843033512,68.75682290682444
AK,9,2015,1,26.83791241496598,80.0599956398063
AK,9,2016,1,24.12505639097744,71.89040759861923
AK,9,2017,7,9.335169455169456,67.71014256692325
AK,9,2018,10,17.193190035273368,75.97716120183686
AK,9,2019,10,23.94262123197904,77.71246789361744
AK,10,2009,1,13.14989515072084,72.0743055868737
AK,10,2010,1,3.694337194337197,71.75937436955526
AK,10,2011,7,13.498000858000855,59.956514489340364
AK,10,2012,1,6.1724916457811165,76.1732449922832
AK,10,2013,1,24.14796343537415,77.03596585907447
AK,10,2014,1,12.198955026455026,67.80356913275844
AK,10,2015,1,24.45776360544217,78.23525883407038
AK,10,2016,4,21.50553308048884,72.31556328108006
AK,10,2017,3,8.779443027210883,62.81845064580824
AK,10,2018,10,21.76302016302016,82.56348910328775
AK,10,2019,10,26.97522522522522,80.54155938963342
AK,11,2009,1,16.019491634491633,73.9200761817033
AK,11,2010,1,18.016096938775515,69.04701875914319
AK,11,2011,6,16.361373788453438,65.00772814876518
AK,11,2012,2,5.6928049289891405,69.57981786578135
AK,11,2013,1,13.987429414243564,66.14486624340519
AK,11,2014,1,15.024663608562687,73.17740926245956
AK,11,2015,1,2.6460124410124406,67.70357054431105
AK,11,2016,7,16.32495238095238,69.83866054827647
AK,11,2017,5,8.609892749892747,65.12890367026532
AK,11,2018,10,21.574851994852,82.70806463161891
AK,11,2019,10,26.29506683375105,78.92574483468718
AK,12,2009,1,3.5969583869583883,63.24791505758035
AK,12,2010,1,19.697567099567106,67.31317933669875
AK,12,2011,4,24.489446589446587,73.51909491440334
AK,12,2012,1,8.191085124315213,69.36685883687049
AK,12,2013,1,11.624690265486725,68.62523324959486
AK,12,2014,1,20.28110310179117,66.27558717994987
AK,12,2015,1,23.274313105773288,72.27668967348987
AK,12,2016,5,26.56314028314028,76.24116215675292
AK,12,2017,5,13.43582683982684,67.50406952383145
AK,12,2018,10,23.55130630630631,71.05209403396378
AK,12,2019,1,29.04674603174604,76.63455636157518
AK,13,2009,1,14.585642646439107,69.28280539276616
AK,13,2010,1,20.222104247104248,71.49149420155466
AK,13,2011,4,19.843562848562847,70.68429921074603
AK,13,2012,1,19.693414115646256,71.18337404439292
AK,13,2013,1,13.726162840136054,73.9000922914844
AK,13,2014,1,24.296582109479303,60.46595021833315
AK,13,2015,1,25.550164348925403,70.62098278382861
AK,13,2016,6,26.54671645021644,77.36029414792272
AK,13,2017,8,19.953364938895923,73.64040999060268
AK,13,2018,10,25.92356924421145,70.84456976746544
AK,13,2019,1,35.40324979114453,78.85411982514485
AK,14,2009,1,15.634833544037088,70.03971069997228
AK,14,2010,1,22.624266055045858,71.18769018736343
AK,14,2011,4,22.343300865800867,74.23618091620996
AK,14,2012,3,20.63753476611884,72.46514882700141
AK,14,2013,1,20.50168141592921,67.55979564476634
AK,14,2014,1,23.638582251082248,69.23778141422841
AK,14,2015,1,25.467871892119692,73.35542598901495
AK,14,2016,4,33.39303896103897,73.16540695180841
AK,14,2017,7,29.533524659863964,72.71764685613499
AK,14,2018,10,24.50980265980266,62.77891859091716
AK,14,2019,1,30.253408521303268,68.89247441449669
AK,15,2009,1,23.357713864306785,74.18464803854516
AK,15,2010,1,31.352352555701195,73.9669446289194
AK,15,2011,1,21.781352718078384,66.12991249396018
AK,15,2012,5,30.30432539682541,70.59803901323733
AK,15,2013,1,13.054553571428572,67.24812475620121
AK,15,2014,1,21.20732467532468,65.06572366333111
AK,15,2015,1,29.03662376662377,75.71585573133882
AK,15,2016,2,34.25944302721089,70.09831670521477
AK,15,2017,6,34.10383311883312,65.86983799307241
AK,15,2018,7,32.71145915246833,69.27532595807736
AK,15,2019,1,33.20560150375939,75.61388463808079
AK,16,2009,1,24.581811224489797,71.41071628705481
AK,16,2010,1,33.2759479717813,70.95634090463334
AK,16,2011,2,29.49903286978509,69.06820144366729
AK,16,2012,4,32.67864938895913,73.78060752586819
AK,16,2013,1,23.452525510204076,62.0835144852766
AK,16,2014,1,35.578876018876024,72.8523157256375
AK,16,2015,1,28.6803997378768,71.22172530478099
AK,16,2016,4,38.610740025740014,66.95452733781009
AK,16,2017,5,33.619309523809534,60.972228686291935
AK,16,2018,7,31.69989858906527,68.694960979645
AK,16,2019,4,30.747660818713456,73.2337303392988
AK,17,2009,1,32.794260429835646,73.54337062806711
AK,17,2010,4,35.081411096548706,72.25873421887722
AK,17,2011,1,34.786796157059314,72.92310612291945
AK,17,2012,3,35.51098852040817,69.13437213464249
AK,17,2013,1,30.145444015444017,68.24935539245476
AK,17,2014,1,37.917653367653365,66.81855298726258
AK,17,2015,1,35.30561990561992,67.6035938221141
AK,17,2016,1,40.59556122448979,68.61107210791889
AK,17,2017,3,36.900155187074816,71.962516802356
AK,17,2018,4,36.27462742504408,76.49166123206169
AK,18,2009,1,42.57332911925831,65.88264596369137
AK,18,2010,1,36.63415902140672,68.81878142276025
AK,18,2011,1,33.87482142857142,72.05890618829893
AK,18,2012,3,29.223459755583647,69.79130245207479
AK,18,2013,1,27.79013728013728,72.22679856772221
AK,18,2014,1,42.72847619047619,64.32850282990013
AK,18,2015,1,36.80651074589127,71.07831039639404
AK,18,2016,1,40.62579365079363,73.47568168233595
AK,18,2017,5,39.16617331617332,68.26506376877191
AK,18,2018,2,35.70520377520379,77.16784658950648
AK,19,2009,1,37.550549120549114,69.96114785702032
AK,19,2010,1,39.237562770562775,70.64441208375425
AK,19,2011,1,38.30356098579783,62.89301657231494
AK,19,2012,2,34.637199747155535,73.86666772986484
AK,19,2013,1,36.78621645021646,70.02862084560938
AK,19,2014,1,40.904315744315774,68.11298753086368
AK,19,2015,1,41.423029336734686,67.92933479604585
AK,19,2016,1,48.015802781289494,67.58409718693214
AK,19,2017,2,42.748095238095225,69.7722156359022
AK,19,2018,2,41.93617331617331,72.99364040726509
AK,20,2009,1,41.29015170670036,63.44605614462835
AK,20,2010,1,44.06451105442176,68.15710721744853
AK,20,2011,1,45.169373433583964,67.08630849235786
AK,20,2012,1,40.881161236424425,66.51324642407852
AK,20,2013,1,31.506611394557808,69.64864332615599
AK,20,2014,1,46.50157014157018,63.984906258351316
AK,20,2015,1,46.24842640692639,68.7896660259174
AK,20,2016,3,46.32489370748299,69.86613187078254
AK,20,2017,2,44.63411411411411,70.12940456596304
AK,20,2018,1,42.41916344916342,74.32015569737845
AK,21,2009,1,44.938324905183286,64.76602018071922
AK,21,2010,1,50.15700000000002,64.35070070854883
AK,21,2011,1,50.369789296249465,64.49587844450754
AK,21,2012,1,44.66500850340135,71.96830974910894
AK,21,2013,1,43.57371386054422,67.4348715378311
AK,21,2014,1,42.80440154440153,62.50613469788368
AK,21,2015,1,49.46704978354981,69.29079022835582
AK,21,2016,1,49.10914369256476,67.56088104725357
AK,21,2017,1,42.9256435006435,73.62773140111477
AK,21,2018,1,44.40370960884355,75.54092464546815
AK,22,2009,1,44.28151437151436,70.11427898050248
AK,22,2010,1,47.85437365937366,70.53080277800598
AK,22,2011,1,49.1575541125541,69.15787728525335
AK,22,2012,1,44.42314791403288,70.23517293091625
AK,22,2013,1,50.51547404547404,65.42429029714918
AK,22,2014,1,45.13463534963535,75.10976234015803
AK,22,2015,1,51.04357575757574,68.42359264660766
AK,22,2016,1,50.900707964601786,65.74395248062127
AK,22,2017,1,49.09502574002573,65.00759772777083
AK,22,2018,1,47.141764069264056,71.88904356157681
AK,23,2009,1,51.03994521702487,69.7567907960584
AK,23,2010,1,48.522312312312316,72.85972118617406
AK,23,2011,1,48.829879879879854,70.57821178489779
AK,23,2012,1,49.0507585335019,72.3861801441967
AK,23,2013,1,47.45988202488203,71.84279592263782
AK,23,2014,2,47.67572286572288,71.03986502058491
AK,23,2015,1,47.61132132132136,68.55607772355998
AK,23,2016,1,50.38203118415509,68.02536197829083
AK,23,2017,1,52.99080569727892,68.81201347743897
AK,23,2018,1,50.105837742504406,72.97219988942831
AK,24,2009,1,51.230935524652345,70.37967673314304
AK,24,2010,1,49.244451530612224,75.31311205603733
AK,24,2011,1,50.42933673469388,70.49587825016631
AK,24,2012,1,49.31854636591481,71.59850235527959
AK,24,2013,1,54.72875160875162,65.3745292858932
AK,24,2014,1,47.11497236394558,74.5331532097121
AK,24,2015,2,48.85331188331186,68.79707559151845
AK,24,2016,1,54.14352040816326,67.52949467514476
AK,24,2017,1,49.85597597597596,72.95555477201567
AK,24,2018,1,49.13176277850586,70.53237507852761
AK,25,2009,1,50.23322491496597,73.15202524927945
AK,25,2010,1,53.15588647959186,71.48944789321867
AK,25,2011,1,52.68206068268015,74.52099989956012
AK,25,2012,1,54.0407979407979,68.08222867413161
AK,25,2013,1,58.83256971256972,64.02854134296904
AK,25,2014,0,49.89932610544215,74.47044671108063
AK,25,2015,3,59.95738738738742,59.83949919910394
AK,25,2016,1,54.814700800674245,74.58936238297203
AK,25,2017,4,52.407522522522534,74.2365194802172
AK,25,2018,1,52.71476190476191,75.76680210112099
AK,26,2009,1,48.823135271807814,74.23524304746927
AK,26,2010,1,52.30345025510204,77.44366975935178
AK,26,2011,1,51.37045933417615,76.08678652777938
AK,26,2012,1,50.382700557700545,78.10078997849928
AK,26,2013,1,57.51082153582154,72.06448437399284
AK,26,2014,0,51.76788052721089,75.86819173053239
AK,26,2015,2,57.17580086580089,69.11244323229599
AK,26,2016,1,56.816936649659844,73.43744196056507
AK,26,2017,1,54.349030459030416,76.50954083202582
AK,26,2018,1,53.84953271028037,75.6523823325106
AK,27,2009,1,55.388851664559624,67.70362724440328
AK,27,2010,1,54.59790692640693,72.31261603575564
AK,27,2011,1,53.07904549319727,72.88064435497435
AK,27,2012,1,52.45706845238095,74.35387602403681
AK,27,2013,1,52.23576623376625,79.08201129635181
AK,27,2014,0,55.73650150150152,72.86299493595645
AK,27,2015,2,56.168761467889894,71.79761448501255
AK,27,2016,1,56.3496944795617,77.04486252288022
AK,27,2017,1,56.605445887445896,74.93191108964399
AK,27,2018,1,57.6605004409171,73.27168474930224
AK,28,2009,1,58.43106616097768,70.32627200782751
AK,28,2010,1,51.689867009866994,78.34133043987973
AK,28,2011,1,52.68463320463321,76.80057274891891
AK,28,2012,1,52.382113617376774,74.51526948607173
AK,28,2013,1,55.75390518707482,72.4824347901667
AK,28,2014,0,55.91527705627708,77.50135242154035
AK,28,2015,1,57.30101354303189,73.41738314424425
AK,28,2016,1,60.310478297513676,70.74747112951492
AK,28,2017,1,57.17463860544218,77.83394851519252
AK,28,2018,1,53.36680335096999,77.86153031664925
AK,29,2009,1,57.77984618626215,73.66556956206324
AK,29,2010,1,51.52163878163881,83.46700717716111
AK,29,2011,1,54.519669195111646,75.09949941600745
AK,29,2012,1,52.844327855035836,78.330537788851
AK,29,2013,1,56.60386147186146,79.72841207197733
AK,29,2014,0,53.164343629343634,76.8042172153273
AK,29,2015,1,55.174082251082275,77.18371042844457
AK,29,2016,1,55.65236819727891,78.77564741513439
AK,29,2017,1,57.64998299319725,77.2714192539109
AK,29,2018,1,55.44978354978353,78.33471660364495
AK,30,2009,3,54.72497236394554,74.87712878862385
AK,30,2010,1,54.91426211926211,80.54630429454636
AK,30,2011,1,53.65090561224486,80.34808567161453
AK,30,2012,1,54.525217024863046,79.17245770971729
AK,30,2013,1,58.664766313932994,75.68631083870935
AK,30,2014,0,51.83774560274558,76.97843283019404
AK,30,2015,1,55.79929684023138,75.69720793842497
AK,30,2016,1,55.601726726726724,77.92256600060767
AK,30,2017,1,56.15963302752293,83.57335190009664
AK,30,2018,1,59.80573573573575,77.86534869783556
AK,31,2009,1,56.133744205646856,75.73311816488541
AK,31,2010,1,56.34211282711286,80.96977016295996
AK,31,2011,1,51.379253826530636,78.22338608563317
AK,31,2012,1,51.560263379688166,81.9608576774569
AK,31,2013,1,59.618134199134175,76.18201007387634
AK,31,2014,0,56.13351190476189,75.7906166356122
AK,31,2015,1,54.952678025338614,78.4330535912334
AK,31,2016,1,55.6615444015444,79.31138507782237
AK,31,2017,2,58.04131953716068,80.77169094491337
AK,31,2018,1,57.35372157872159,81.28883903874521
AK,32,2009,1,55.51878826530612,76.6832072157714
AK,32,2010,1,54.33861003861005,81.9256060493801
AK,32,2011,1,51.2989880952381,81.70092003216415
AK,32,2012,1,53.13820901812053,77.5409322042552
AK,32,2013,1,55.75229944229945,79.69768081850712
AK,32,2014,0,56.90653896103898,77.08400315211463
AK,32,2015,1,56.32960026212317,74.74861862510375
AK,32,2016,1,55.8562251082251,82.64213922461376
AK,32,2017,1,56.55987229437228,79.67009985340779
AK,32,2018,1,53.433149350649394,81.74471073531932
AK,33,2009,2,51.79437631689843,79.38721982469016
AK,33,2010,1,52.20202168367346,79.38535863050006
AK,33,2011,1,52.30848162071848,79.47505537953404
AK,33,2012,1,55.160364650364656,77.50433717924697
AK,33,2013,1,55.00290647790649,80.86435048530643
AK,33,2014,0,56.56667532467532,78.17202395279848
AK,33,2015,1,52.8515508955876,77.55317710111
AK,33,2016,1,55.2575622542595,79.60481675939783
AK,33,2017,1,49.580904325032776,83.15553896066913
AK,33,2018,1,52.02537108537109,80.52531000716742
