week,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1,-5.5021885521885565,53.99886363636362,48.31956521739131,48.3673076923077,45.27703488372093,28.10625,23.28333333333334,31.20833333333333,64.537134502924,51.09166666666667,72.74318181818181,22.39270833333333,25.500000000000004,34.01458333333334,31.55535714285714,33.5075,41.732692307692304,60.96124999999999,20.54868421052632,32.49318181818182,12.156666666666665,22.472959183673478,9.931395348837208,36.230357142857144,55.77333333333333,12.275,39.89206349206349,0.4812500000000001,26.329310344827586,12.4,27.305769230769233,41.202272727272735,34.73333333333334,20.45,31.076250000000005,42.601470588235294,34.383,27.246296296296297,23.175,45.98281250000001,14.481481481481481,45.93928571428571,57.59487179487183,23.65384615384615,34.86562500000001,10.292857142857144,30.49435483870968,17.226562499999996,33.36071428571429,23.42361111111111
2,-5.328067226890753,54.63763975155279,39.91242236024845,45.86632653061224,47.63926910299005,25.135714285714283,28.76349206349207,37.561904761904756,64.90351089588378,55.459576719576724,71.50389610389611,18.494246031746027,29.479120879120877,28.070634920634927,26.263265306122445,32.986428571428554,35.73406593406593,56.00226757369616,27.717293233082703,37.14285714285714,16.401904761904767,20.103206997084552,6.4109634551494965,31.003061224489798,51.963809523809516,26.860714285714288,49.62800453514738,4.963095238095238,27.65911330049261,20.618831168831168,32.98791208791209,37.0090909090909,36.891666666666666,25.228571428571435,27.852857142857143,39.14411764705881,40.362857142857145,29.982010582010588,29.532142857142855,54.1625,18.276984126984136,42.981632653061226,50.20801886792453,24.139285714285716,41.49410714285713,18.70816326530613,40.55852534562211,12.217857142857143,34.497959183673466,26.967226890756308
3,20.616229086229094,37.91138716356107,33.89565217391304,51.83775510204082,54.39982281284611,26.473809523809518,17.201587301587306,24.904761904761894,55.064810330912024,38.5323015873016,71.54632034632034,7.081904761904763,28.33736263736264,17.201984126984133,14.830612244897962,29.837857142857146,24.17032967032967,44.016883116883136,17.024060150375938,25.58311688311689,4.385523809523808,9.100437317784259,-2.0285160575858256,22.95510204081632,38.199047619047626,27.970714285714287,32.916326530612245,4.58452380952381,24.61921182266011,8.158225108225109,20.46153846153846,36.841558441558426,39.727380952380955,14.496428571428574,15.279999999999998,35.58522408963585,37.77323809523809,17.67830687830688,19.267857142857142,37.839285714285715,15.076190476190472,29.66938775510204,46.389824797843644,28.22278911564626,27.179017857142853,5.710204081632654,36.58986175115208,0.9566964285714292,19.902040816326533,29.900840336134447
4,16.392903911564627,42.45501035196687,38.242236024844715,57.39285714285714,54.04651162790697,31.87559523809524,23.838095238095242,29.24761904761905,53.01995073891625,42.08684353741497,69.93506493506493,14.845238095238097,26.521978021978025,22.29880952380952,20.766326530612247,32.989999999999995,28.967032967032967,49.27911255411255,24.35789473684211,30.04025974025974,13.144761904761904,15.816836734693878,8.31827242524917,27.720408163265308,42.64857142857142,17.731142857142856,36.869365079365075,9.082142857142856,27.127093596059108,18.306493506493503,25.71318681318681,44.9655844155844,43.547619047619065,21.44412698412699,20.07142857142857,40.414145658263294,35.02857142857143,22.953968253968263,25.689285714285717,42.1125,19.96825396825397,34.68775510204082,52.39113207547172,30.95476190476191,32.25855654761905,16.665306122448982,30.754577572964674,10.750446428571427,24.68367346938775,24.977871148459386
5,4.845185419300462,48.21614906832297,34.69360248447206,48.69795918367346,48.896201680672256,22.84583333333333,25.04126984126984,30.65238095238095,60.91614205004037,48.053373015873014,69.74935064935065,16.836904761904766,18.55384615384616,22.115873015873017,20.542857142857144,28.473571428571425,29.97985347985348,50.130898268398255,23.35488721804512,31.46077922077922,10.278095238095236,16.03155976676385,8.633222591362129,26.833673469387755,46.48000000000001,21.153571428571436,41.64571428571429,12.190476190476188,22.47458128078818,14.96233766233766,27.55384615384615,36.68116883116884,36.391666666666666,22.485000000000007,21.61345238095239,34.34443277310924,32.742285714285714,24.464021164021162,26.50357142857143,45.797321428571436,20.29285714285714,37.70612244897959,46.82449433106575,25.542857142857148,35.116160714285705,15.33265306122449,32.664055299539164,10.691517857142859,28.19795918367347,15.792436974789913
6,3.1380694980694983,42.797950310559,45.91224489795918,54.74693877551021,51.98012181616835,34.16904761904761,26.62222222222222,35.319047619047616,52.38423645320195,41.40436507936508,71.25584415584416,23.41011904761905,27.705494505494514,29.57116402116403,26.80034013605442,40.09428571428571,34.371428571428574,50.63363636363636,25.304511278195488,35.629870129870135,16.755238095238095,20.780466472303203,13.640531561461794,36.997959183673466,45.28571428571429,31.877857142857145,39.75760743321719,14.495238095238097,32.6167487684729,18.680519480519482,29.9989010989011,45.39675324675324,43.27261904761904,23.41968253968254,27.315,48.23039215686275,39.208,28.67513227513227,27.892857142857146,42.333035714285714,25.81666666666667,38.57142857142857,55.83859863945579,33.39659863945578,36.30267857142858,17.524489795918367,36.892626728110585,17.95491071428571,30.312244897959186,29.905042016806732
7,8.973248917748913,56.775776397515536,51.902287784679096,44.680612244897965,44.8131976744186,27.362500000000008,36.77936507936508,45.53333333333334,65.76755447941888,56.652513227513225,71.64415584415585,33.16488095238095,25.040659340659342,42.026521164021176,41.12448979591837,40.464285714285715,48.43186813186814,62.16277056277057,34.3796992481203,45.910389610389615,23.81714285714286,33.76516034985422,24.817275747508308,43.35306122448979,57.48095238095239,23.942142857142862,54.31126596980255,18.356666666666666,32.03201970443349,27.310389610389613,40.89780219780221,38.480519480519476,34.53214285714286,34.18174603174603,40.519285714285715,50.04705882352943,33.96285714285714,39.066666666666656,37.035714285714285,56.983928571428564,27.538888888888888,53.27142857142857,59.421201814059,28.374489795918368,49.55052083333333,26.51836734693877,34.45044642857143,30.686607142857145,43.08231292517007,23.536974789915966
8,15.203456709956708,47.20916149068324,42.495755693581785,51.91836734693877,50.23928571428571,30.396428571428572,31.358730158730154,34.85238095238095,60.46832122679579,47.50013227513226,69.9935064935065,23.087400793650797,29.81538461538461,29.706547619047623,28.71326530612245,37.11232142857144,33.86043956043956,54.18831168831169,29.771428571428576,35.50909090909091,23.900952380952376,23.186297376093297,14.474418604651165,32.94489795918368,47.145714285714284,25.380714285714287,40.54701509872242,7.545454545454546,28.094088669950754,23.78398268398268,32.641758241758254,41.50000000000001,39.67857142857144,28.081333333333333,28.85642857142857,45.023376623376635,39.71257142857143,29.212857142857157,31.914285714285718,45.56428571428572,20.430952380952373,39.569387755102035,54.88470695970697,32.650510204081634,35.94016369047619,24.23877551020408,37.74017857142857,19.143377976190482,30.183333333333334,26.053703703703704
9,18.531291291291293,51.14844720496894,46.78447204968946,61.8,54.845271317829464,37.53988095238096,32.027513227513225,37.52380952380953,62.83341404358354,50.84404761904763,68.99870129870129,26.192261904761896,33.26593406593407,34.54589947089947,32.974489795918366,37.67669172932331,37.440659340659344,57.51103896103896,32.079699248120306,37.801298701298705,23.80666666666667,21.965500485908645,11.47043189368771,36.77346938775511,52.39142857142858,21.500714285714285,42.44857142857142,3.8740259740259737,28.042364532019697,25.14857142857143,34.76703296703296,52.357792207792215,48.72380952380953,28.509047619047603,32.434285714285714,47.26969696969696,41.08957142857143,33.050529100529104,33.80357142857143,47.48660714285714,16.107142857142858,44.663265306122454,59.577718820861655,39.734693877551024,38.53549107142858,23.23877551020408,39.29934523809524,18.14151785714285,34.438775510204074,30.596031746031752
10,13.14989515072084,51.35714285714285,53.863975155279505,60.63775510204081,51.190201680672274,43.20119047619048,32.323544973544976,37.86190476190476,58.564648910411634,48.90648148148149,69.51298701298703,34.79212301587302,33.56153846153846,44.102777777777774,42.43571428571429,48.550714285714285,46.543406593406594,59.01233766233766,31.780451127819546,39.824675324675326,24.232380952380947,28.577259475218657,24.281063122923584,47.2923469387755,53.86952380952382,29.782142857142862,44.18778571428572,19.214285714285715,37.53448275862068,26.397142857142857,34.937362637362625,55.31298701298702,45.27718253968254,30.524523809523817,40.00714285714285,58.27997198879553,39.16,35.87724867724869,33.06428571428572,47.23928571428571,28.904761904761912,47.58163265306123,63.96428571428569,42.588775510204094,41.223041474654366,25.25918367346939,39.796190476190475,27.411235119047614,40.508163265306116,35.479365079365074
