week,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1,80.3808311473923,75.5470423943598,74.91362811812476,42.08292154154372,56.27731539902262,59.95382288968361,59.8503178161201,59.39298184307689,79.42350522100844,76.50595072207962,75.2842394143353,75.83353925840102,76.89361587972323,75.18354031684595,75.61043847345397,68.84273343969517,75.27148239006398,76.50278005812412,60.47342293108999,59.379601350631454,67.80693351768845,73.40954763137614,78.37889197942599,67.32922163011169,77.55699457475603,69.27874245010797,71.59180612244653,77.62385566434172,69.65092263412154,64.20744811809142,59.43031247418902,58.75187448611922,53.2654729259059,67.36483633003925,73.9576129605505,70.42827982402255,77.92358574307114,66.31319343839611,58.1310820876555,74.0043424337031,74.74467700931444,74.96993418320777,70.14357288241524,74.74793230692156,66.13007343768723,70.46250965984459,83.87742327800594,73.99135038001121,69.90931180965485,66.11798247365564
2,83.92481382381214,79.16939713616556,79.83506201664342,38.44055940133773,65.04436814079112,57.03467501367452,74.82129475855172,73.03559589981533,78.36720976871243,78.8106601722897,72.01043096870465,77.10358063846829,78.84726589441286,81.18431417226631,80.79256778792606,66.75591784105026,79.54278467563503,84.43862479516055,74.42581032942634,72.83037395714464,74.77867159225794,75.91097194798753,77.47877786866214,69.18122409599215,85.1523044794543,69.87886305486357,77.55230463905264,77.32470952636548,73.09732435465118,75.71244775724573,72.16078616548872,47.806039148536215,55.65414984797742,74.34668998268556,80.07215347206201,73.59226558293916,83.24673780531873,77.50275670576008,73.44717762015294,76.14590132601502,72.7094653529917,79.4110627844072,76.78836591131694,71.46667535661237,74.99392835104703,75.56365286316749,81.13231095874258,76.81351584693844,75.12404211055748,65.94077312569817
3,80.58223347781654,77.71125633261609,65.14737260051578,30.67177302641673,47.28475866084177,55.582570477578926,63.91874975299932,72.02782492349607,74.90081931470823,75.11496624046866,67.60255809330171,67.22499536429197,77.87494396744708,70.24962156169968,68.09588345350757,56.353501220971786,70.2229335977204,75.82739024472647,64.92478623316742,68.96420739803074,67.10405152433458,69.40865554692661,72.60145507344873,60.5682274205944,79.42632244702862,67.55416427321646,79.05281070536464,75.78448408599746,62.207009024477536,64.80367277697961,64.86097150043193,45.11429011899118,51.29802327657561,64.4713618107706,64.95174035040904,61.30384645428926,77.7401803642547,65.73191660432529,65.61178670301135,72.35211890407025,68.29382395086728,76.88565306559029,60.450939378394715,73.74987814266406,77.06190106716831,64.31610371872713,84.69982497643137,68.53766440607296,65.86844497747406,61.54033325072954
4,74.4321928269757,61.32068665606871,66.30903316727158,44.01845856025919,60.98272453855596,53.53270142897234,46.85246554939882,53.220429949565926,65.64255858201055,57.26833395384366,69.29145170807878,61.43229155629777,80.8527723158971,59.15907306066966,62.32162589878943,58.33427895943598,57.058815664301065,75.58937730784412,46.84635905665328,53.00594676026085,50.2783604496418,70.75138251072056,67.27349298877044,55.41744146028522,69.67123860703407,69.27411928074102,54.0053776279542,71.7332528227589,64.17858391683016,48.76503533825444,51.91234962551058,40.63756270858967,58.395621890531324,60.35020698364815,65.9997497972535,67.82706572460066,79.66834051320909,61.61518104953162,47.504150979907074,50.451007512979295,70.79809993974007,56.825780607320716,70.96868445964645,80.60087807932499,52.85017312049287,57.21061383003799,86.97197612008394,65.92375887510015,60.2881507671239,60.33801602705024
5,77.05713431026678,64.26521043514686,64.32196367687075,50.4291253437121,64.81241857111947,62.710112584832785,64.64836564632657,68.33947852296438,62.683480230987904,61.450340500952294,72.68376649112442,79.66419161118685,82.34179994695475,78.14240377100441,81.3319549949239,65.49189817800372,74.76185618104054,66.09477364119257,64.68413657573042,68.61820461810711,64.06272962206485,81.20840944258882,77.64521386799777,68.76133721667462,67.2908296170163,70.37996438579306,61.9438848920179,78.02102450302259,73.33473719926816,66.16004648240275,67.60194163270624,43.1801076876258,58.404149470922576,71.41778226454817,78.7255747887539,63.775283447263135,82.20364347324033,74.74494693123395,63.77075837982319,58.06360303675747,77.16793365989206,68.39923382490782,53.096609101245896,76.05717116839763,63.554329074075156,71.75487251737539,86.27577515119373,78.58429024291817,74.58901716179359,70.39036232676669
6,80.93563980266252,71.75371203715498,74.82487059246525,47.613738043781325,68.30879441269474,57.001647811147365,55.97709818499978,66.01844256618614,68.98180437710641,69.72580437652415,70.65368321452401,82.4075264886413,76.95024608791391,78.64062509601075,75.43794916986856,60.87999103308471,67.46924502910211,82.8853158656186,60.04515209497029,63.43164675909825,55.02573612193918,76.31435445106385,80.3354514916327,68.47730731393845,76.84838215967292,68.51998562186442,59.390656814672305,84.49330983545183,66.80389412328756,53.69820427068976,62.86434340060149,37.97507932025276,46.6600895504934,65.08069946897751,72.48524730579103,68.21372704082984,79.32629502268638,69.11959969154343,59.045917884725284,61.015953604665796,77.01316936502378,65.09688481390977,65.89710298311024,73.94740397091584,59.512568703287755,57.87250106744397,80.34509821103852,79.76452182054936,70.83953208023188,62.491102196718515
7,79.97023088573424,67.43526995802542,59.45434206632996,36.41759386217583,53.357690785172316,54.69257568795511,66.88638239687806,72.1071377772952,69.9012800865997,70.41215927940036,66.1137287214997,72.00786448663213,70.46046818447212,67.40093637052887,70.31773824946421,54.3678356848102,64.78260433771229,69.53874508245728,70.20149942696025,68.12759503245512,72.99696945525616,74.43744072680717,76.93653683661294,56.713208382245185,70.14765681462728,66.0999869475659,69.64013400353821,80.04570092294229,62.745340506181776,66.17522512601249,65.24310176498598,36.69339665827746,44.29789489466691,66.56554457664181,72.33811360751865,61.75246395246937,74.55723140929312,67.85737462860823,70.74130689427565,70.64974327335847,71.57706027783931,63.399389190970844,55.69594867174909,68.17622218698524,64.29090828797611,64.55976088927325,78.88552321063258,73.59385212744786,63.31228117408339,66.71543841945358
8,75.3844263932263,60.74706956783074,67.82434711187439,40.02480923240991,59.03204657950382,62.89429806928665,62.58926361914094,61.20149214002754,70.15643052682294,62.69186699816039,70.60649253279634,72.61188645592048,70.3221977594025,73.07933967501944,71.20960992952469,64.72735887147567,62.573979459132225,68.75657403069053,60.46294596925995,60.15258041900158,64.98656842354134,74.66520124864395,73.65007045504561,65.2088110675801,66.66584694883257,67.33887144657294,60.08646053288042,75.79070290998307,69.11397371530875,61.073083127501796,60.67927961352946,40.15819586973653,41.41043138649616,66.22645644007328,70.54200914217986,66.73605149158595,77.60674639840975,66.25312515126879,58.253751530837725,62.18879872614125,73.85662235336346,59.97486600549076,55.610063419025,62.180583196626934,56.82291171383714,65.1440579087811,75.98297092356123,74.68471325799685,62.888948206682386,69.07027172990543
9,75.42659209759056,62.336935750657304,66.98857540799831,25.386086894755763,47.32418847218748,58.863340730066824,71.18761874600429,64.20879959421964,64.24981114280403,64.95875382150751,62.04542194154462,79.45080150351835,72.61688147720464,79.42457038089853,77.97379066499613,73.56207911066306,73.87697933034733,59.31358200617978,76.76691165004422,63.6732271653681,79.35169391885863,76.12584471495181,70.70785905910785,75.01121875521494,63.90094280326889,61.646356578302964,64.45828962769303,80.12279583301441,73.97419034241274,78.95527753346799,65.90172750687917,33.80859296760827,36.169617817291005,76.39124709142419,78.41242358395121,70.7997125631374,74.84934902365104,71.04500420719421,73.01069177779667,62.21033491406782,74.01357000392939,67.06989003511211,44.85133369992936,59.43719555333577,63.55297402417509,80.41430505197039,74.40215745885148,72.65254828089915,69.89487716631363,63.73296502328677
10,77.03596585907447,52.709872572810404,58.117879252463176,38.6046228980061,65.09775245276029,55.90397124488114,63.97940218989423,57.14096547525856,56.411767560768645,54.223690702449744,66.6384434577832,83.10007074680213,60.840470234203046,72.59869807557091,70.48882632825658,62.717523271729526,61.308654102029074,60.36484095017782,72.02532025998,54.721167838814665,69.07294898465095,72.85389157950108,78.23508955002288,65.72697941405308,58.642861224652364,68.93481957057656,52.661576961608404,83.11958811040245,67.15624348705576,66.04273652430439,61.45584548517546,33.255749652386164,44.960755808145116,66.12321040866713,67.1358285546168,56.100304255161994,67.38834042903572,57.84555683286067,69.63573718869131,50.011625089817066,74.52216168289584,55.620238334699046,49.51563224696872,55.99364796464721,55.89118249898559,65.23139999981417,72.85977406141225,75.43978730196022,59.663165962803475,56.749433304524544
