week,temp,dewp,hum
1,38.1,29.71666666666667,71.54431235667201
2,39.942857142857136,28.728571428571428,63.94857212224999
3,34.31428571428571,29.971428571428568,83.95775838779184
4,30.357142857142858,21.357142857142858,68.86399565073368
5,35.24285714285715,24.02857142857143,63.33046764387028
6,35.114285714285714,28.24285714285714,75.7855526748632
7,36.61428571428571,27.857142857142854,70.29526685868926
8,36.214285714285715,26.585714285714282,67.77124374887713
9,34.6,25.271428571428572,68.42390869065468
10,31.628571428571426,19.985714285714288,61.70985503752797
11,46.028571428571425,32.98571428571428,60.16960877430704
12,49.628571428571426,33.857142857142854,54.43247418802022
13,51.214285714285715,39.857142857142854,65.01347863522719
14,54.18571428571429,41.48571428571428,62.08717028931592
15,57.90000000000001,40.68571428571429,52.62270902343214
16,62.53333333333333,45.5,53.67248514337345
