week,temp,dewp,hum
1,21.28333333333333,9999.9,3348447190.7581983
2,16.3,9999.9,4145276738.3362584
3,7.757142857142857,9999.9,6049052847.6511755
4,2.6285714285714286,9999.9,7647571152.893045
5,-1.942857142857143,9999.9,9472807064.420076
6,-10.385714285714286,9999.9,14249851946.83713
7,-2.028571428571429,9999.9,9511340306.538422
8,2.8142857142857145,9999.9,7582129928.664346
9,-4.171428571428571,9999.9,10533245452.13143
10,8.1,9999.9,5956202557.109954
11,20.014285714285712,9999.9,3533838953.1015434
12,27.842857142857145,9999.9,2547186105.489088
13,30.4,9999.9,2294686318.9892077
14,36.07142857142857,9999.9,1828287740.2068377
15,32.785714285714285,9999.9,2084022510.7696028
16,45.43333333333333,9999.9,1272286608.0677896
